City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather,Hotel Name
0,0,Road Town,VG,18.4167,-64.6167,87.89,79,75,11.5,broken clouds,"ZINGARA 76ft Catamaran, full crew-all included"
2,2,Itarema,BR,-2.9248,-39.9167,86.95,56,6,18.68,clear sky,"Sea Lounge! Bar, Club & Restaurant"
4,4,Dwarka,IN,22.2394,68.9678,83.19,68,75,11.59,broken clouds,Hotel Narayan Avezika Comfort
7,7,Sur,OM,22.5667,59.5289,86.7,53,0,4.74,clear sky,Sur Plaza Hotel
10,10,Karratha,AU,-20.7377,116.8463,76.75,57,10,15.9,clear sky,ibis Styles Karratha
12,12,Natal,BR,-5.795,-35.2094,86.65,62,75,12.66,broken clouds,Villa Park Hotel | Natal
16,16,Kirakira,SB,-10.4544,161.9205,78.1,86,100,6.62,overcast clouds,SanBiz Lodge
20,20,Ugoofaaru,MV,5.6667,73.0,81.64,77,93,18.75,overcast clouds,Ungoofaaru Inn
22,22,Trairi,BR,-3.2778,-39.2689,87.17,52,48,16.37,scattered clouds,janelas do mar
24,24,Cockburn Town,TC,21.4612,-71.1419,82.89,73,99,10.54,overcast clouds,Osprey Beach Hotel
29,29,Butaritari,KI,3.0707,172.7902,81.27,79,10,15.08,light rain,Isles Sunset Lodge
31,31,Unai,BR,-16.3575,-46.9061,87.19,41,98,6.98,overcast clouds,Hotel Regente
39,39,Salalah,OM,17.0151,54.0924,82.49,78,40,11.5,scattered clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,40,Bubaque,GW,11.2833,-15.8333,82.04,68,19,5.55,few clouds,"Casa Dora, Bubaque"
46,46,Victoria,HK,22.2855,114.1577,85.17,78,21,11.01,few clouds,Mini Central
49,49,Georgetown,MY,5.4112,100.3354,82.33,87,40,3.44,thunderstorm with light rain,Cititel Penang
55,55,Tambopata,PE,-12.7333,-69.1833,76.89,88,20,4.61,few clouds,Enashawa Lodge
56,56,Mitsamiouli,KM,-11.3847,43.2844,78.39,68,27,5.12,scattered clouds,Foyer ADM
59,59,Ponta Do Sol,PT,32.6667,-17.1,79.72,68,29,2.26,scattered clouds,Hotel do Campo
60,60,Lata,PT,40.1629,-8.3327,86.07,23,100,1.21,overcast clouds,Casa Maquia
61,61,Hirara,JP,24.8,125.2833,82.04,73,85,15.7,overcast clouds,Hotel Atoll Emerald Miyakojima
62,62,Hilo,US,19.7297,-155.09,79.29,94,100,4.61,overcast clouds,Hilo Hawaiian Hotel
64,64,Prado,BR,-17.3411,-39.2208,80.2,63,96,8.34,overcast clouds,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
66,66,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,40,14.97,scattered clouds,Pousada Porto Praia
67,67,Fare,PF,-16.7,-151.0167,77.49,75,5,26.19,clear sky,Maitai Lapita Village Huahine
72,72,Mugumu,TZ,-1.85,34.7,80.44,31,96,5.84,overcast clouds,Lemala Mara
76,76,Port Blair,IN,11.6667,92.75,81.45,77,100,7.72,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
82,82,Boffa,GN,10.1667,-14.0333,89.51,68,35,3.94,light rain,Hôtel Niara Belly
84,84,Sao Filipe,CV,14.8961,-24.4956,80.62,80,13,12.48,few clouds,Hotel Xaguate
85,85,Cabedelo,BR,-6.9811,-34.8339,84.87,72,25,11.25,scattered clouds,Pousada Camboinha
87,87,Ambon,ID,-3.6954,128.1814,78.94,89,20,8.05,few clouds,Swiss-Belhotel Ambon
88,88,Maragogi,BR,-9.0122,-35.2225,82.26,66,35,9.28,scattered clouds,Salinas do Maragogi All Inclusive Resort
94,94,Mount Isa,AU,-20.7333,139.5,82.17,51,100,0.0,light rain,ibis Styles Mt Isa Verona
95,95,Malanje,AO,-9.5402,16.341,84.25,40,96,6.04,overcast clouds,Hotel Ginga
98,98,General Salgado,BR,-20.6483,-50.3606,87.37,42,48,13.09,scattered clouds,TUTU HOTEL
107,107,Argostolion,GR,38.1811,20.489,77.07,41,20,10.36,few clouds,Princess Hotel
109,109,Kupang,ID,-10.1667,123.5833,81.1,78,98,12.55,overcast clouds,Hotel On The Rock by Prasanthi
114,114,Beira,MZ,-19.8436,34.8389,84.29,70,20,17.27,few clouds,Beira Terrace Hotel
116,116,Marsh Harbour,BS,26.5412,-77.0636,78.64,65,9,13.53,clear sky,Abaco Beach Resort
117,117,Babol,IR,36.5513,52.679,78.87,73,0,0.0,clear sky,Reza Hotel
120,120,Vilhena,BR,-12.7406,-60.1458,78.93,66,95,3.83,overcast clouds,Hotel Mirage
121,121,Aracati,BR,-4.5617,-37.7697,89.22,46,36,15.41,scattered clouds,Hostel Pousada Ibiza
124,124,Bacolod,PH,10.6667,122.95,79.86,84,97,7.47,overcast clouds,Planta Hotel & Residences
126,126,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,79,100,11.14,overcast clouds,Pousada Porto De Canoas
131,131,Colares,PT,38.7992,-9.4469,80.26,73,0,5.99,clear sky,Arribas Sintra Hotel
132,132,Kavieng,PG,-2.5744,150.7967,82.51,77,100,14.81,light rain,Nusa Island Retreat
135,135,Labuhan,ID,-6.8844,112.2051,81.34,78,100,4.92,overcast clouds,DoubleFAG
139,139,Nileshwar,IN,12.25,75.1,79.02,82,100,9.08,overcast clouds,Neeleshwar Hermitage
140,140,Cabo San Lucas,MX,22.8909,-109.9124,81.52,63,0,6.91,clear sky,Hotel Tesoro Los Cabos
142,142,Kahului,US,20.8947,-156.47,77.02,78,75,6.91,broken clouds,Maui Seaside Hotel
143,143,Vila Velha,BR,-20.3297,-40.2925,78.75,78,100,6.91,overcast clouds,Hotel Vitória Palace
144,144,Bambanglipuro,ID,-7.95,110.2833,77.36,88,100,9.17,light rain,Puri Brata
148,148,Meulaboh,ID,4.1363,96.1285,77.02,86,100,1.63,moderate rain,Kost Pria
149,149,Hithadhoo,MV,-0.6,73.0833,81.99,76,4,20.38,heavy intensity rain,Scoop Guest House
154,154,Isiolo,KE,0.3546,37.5822,86.29,32,100,17.09,overcast clouds,Gaddisa Hotel
157,157,Samarai,PG,-10.6167,150.6667,80.74,84,64,10.42,broken clouds,Nuli Sapi
162,162,Bandarbeyla,SO,9.4942,50.8122,80.29,73,97,25.95,overcast clouds,JABIR HOTEL
173,173,Sibu,MY,2.3,111.8167,77.31,100,40,0.0,scattered clouds,RH HOTEL (4 Star)
176,176,Belmonte,BR,-15.8631,-38.8828,79.09,71,100,5.14,overcast clouds,Pousada Monte Carmelo O Pão
180,180,Camajuani,CU,22.4833,-79.75,77.14,83,40,2.3,scattered clouds,Hostal Villuendas 75
183,183,Guiratinga,BR,-16.3494,-53.7583,88.21,44,9,7.94,clear sky,Hotel Angra do Cerrado - Guiratinga MT
186,186,Chhuikhadan,IN,21.5333,80.9833,77.09,85,99,9.13,heavy intensity rain,PWD Rest House
187,187,Moroni,KM,-11.7022,43.2551,76.87,76,89,4.32,overcast clouds,Hotel Les Arcades
189,189,Santa Cruz,BO,-17.8,-63.1667,82.45,69,75,12.66,broken clouds,Aviador Hotel Boutique
194,194,The Valley,AI,18.217,-63.0578,86.83,74,40,14.97,scattered clouds,CeBlue Villas & Beach Resort
198,198,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,79,83,10.04,broken clouds,Pestana Bahia Praia
201,201,Salinopolis,BR,-0.6136,-47.3561,84.52,66,94,15.73,overcast clouds,Salinas Park Resort Maçarico AP101
204,204,Laibin,CN,23.7,109.2667,83.73,60,98,3.44,overcast clouds,GreenTree Alliance Laibin Railway Station Hotel
205,205,Asadabad,IR,34.7824,48.1185,82.35,10,0,1.32,clear sky,کامپیوتر صادق
207,207,Ajdabiya,LY,30.7554,20.2263,81.68,36,0,11.74,clear sky,منزلة الحاج سالم خليفة العيساويه الزواوي
212,212,Tevaitoa,PF,-16.7833,-151.5,77.65,75,0,26.22,clear sky,Hôtel Raiatea Lodge
216,216,Eyl,SO,7.9803,49.8164,83.91,64,55,21.56,broken clouds,EYL AQUE SYSTEM
225,225,Ortona,IT,42.3496,14.4039,77.18,50,100,6.04,overcast clouds,La Casa del Palombaro
226,226,Gboko,NG,7.3179,8.9951,79.79,75,100,1.95,light rain,Mavillah Apartment and Suites
228,228,Nabire,ID,-3.3667,135.4833,76.73,91,100,5.84,overcast clouds,Hotel Nusantara I
231,231,Pundaguitan,PH,6.3711,126.1689,83.8,71,26,7.96,scattered clouds,Leonardo Family Beach House 1
237,237,Zhongshan,CN,21.3226,110.5829,80.1,82,7,13.73,clear sky,Jianmin Restaurant
243,243,Tautira,PF,-17.7333,-149.15,76.5,74,94,22.35,overcast clouds,Pension Oaoa
247,247,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,19.57,scattered clouds,Atlantis Hotel
249,249,Gohad,IN,26.4261,78.4447,76.95,85,86,12.35,overcast clouds,Shree Dauji Nasta Center
250,250,Port-Gentil,GA,-0.7193,8.7815,85.96,66,75,18.41,broken clouds,Fengshui Residence
258,258,Prieska,ZA,-29.6641,22.7474,88.75,4,11,16.11,few clouds,Avenue GuestHouse
259,259,Awbari,LY,26.5921,12.7805,84.6,28,0,11.63,clear sky,استراحة الشارب العائلي
274,274,Touros,BR,-5.1989,-35.4608,85.06,60,0,13.58,clear sky,INN NEW HORIZON
275,275,Robertsport,LR,6.7533,-11.3686,79.65,79,100,6.49,light rain,Kwepunha Retreat
278,278,Anito,PH,12.4497,125.2886,79.47,87,100,5.12,overcast clouds,El Felix Cottages
280,280,Gushikawa,JP,26.3544,127.8686,79.83,83,0,4.61,clear sky,Kirari Guest House
284,284,Kabinda,CD,-6.1333,24.4833,84.76,49,100,2.01,overcast clouds,Village Mianda Mutole
288,288,Waingapu,ID,-9.6567,120.2641,81.59,78,100,9.01,overcast clouds,Pondok Wisata Elim
295,295,Moyale,KE,3.5167,39.0584,77.32,49,100,11.52,overcast clouds,La Tahzan Guest House
297,297,Pitimbu,BR,-7.4706,-34.8086,84.79,70,31,10.65,scattered clouds,Reserva do Abiaí
299,299,Port Antonio,JM,18.18,-76.4612,84.99,76,55,3.76,broken clouds,The Trident Hotel
301,301,Manggar,ID,-2.8833,108.2667,80.51,79,100,5.01,overcast clouds,Guest Hotel
305,305,Hambantota,LK,6.1241,81.1185,81.75,72,100,21.68,overcast clouds,Bungalow 63
310,310,Naifaru,MV,5.4444,73.3657,81.72,77,98,18.43,overcast clouds,Naifaru Residence Guest House
313,313,Muros,ES,42.7762,-9.0603,77.09,64,4,6.73,clear sky,Apartment Av. Castelao
314,314,Eydhafushi,MV,5.1033,73.0708,81.63,76,98,18.63,overcast clouds,Soneva Fushi
317,317,Dingle,PH,10.9995,122.6711,77.56,89,100,6.4,overcast clouds,SEGAYA PROPERTY
319,319,Auki,SB,-8.7676,160.7034,76.8,88,75,4.14,broken clouds,Auki Motel
321,321,Gizo,SB,-8.103,156.8419,82.09,68,100,7.2,overcast clouds,Imagination Island
328,328,Fereydun Kenar,IR,36.6864,52.5225,79.02,73,0,0.0,clear sky,Khezer Shahr Tourist Hotel
333,333,Mocajuba,BR,-2.5842,-49.5072,89.71,49,18,5.86,few clouds,Hotel Saylon Mocajuba
337,337,Taperoa,BR,-7.2075,-36.8267,84.24,46,8,14.27,clear sky,Hotel Casarão Antigo
339,339,Trinidad,BO,-14.8333,-64.9,85.98,66,40,11.5,scattered clouds,Hotel Piesta
340,340,Mehtar Lam,AF,34.6714,70.2094,77.22,13,0,2.28,clear sky,Fareed Hakamani
344,344,Phan Thiet,VN,10.9333,108.1,79.54,85,100,5.19,overcast clouds,Hotel Saigon-PT
345,345,Garowe,SO,8.4054,48.4845,90.66,33,92,14.03,overcast clouds,Curubo Hotel
347,347,Soyo,AO,-6.1349,12.3689,79.72,71,50,10.13,scattered clouds,Hospedaria ndozi'ame
350,350,Kudat,MY,6.8837,116.8477,78.73,94,40,2.3,scattered clouds,Dream Garden Hotel
357,357,Bahawalpur,PK,29.4,71.6833,90.99,16,0,5.88,clear sky,5th Avenue | Royaute Luxury Hotels
359,359,Sibolga,ID,1.7427,98.7792,76.41,88,100,2.21,overcast clouds,Hotel Syariah CN Darussalam
360,360,Gudari,IN,19.35,83.7833,76.14,96,95,3.29,overcast clouds,Hotel maa majhigouri
365,365,Angoche,MZ,-16.2325,39.9086,81.5,64,0,12.1,clear sky,Guest House HESADA
367,367,Pemangkat,ID,1.1667,108.9667,79.25,83,100,2.93,moderate rain,Hotel Duyung Permai 2
368,368,Caravelas,BR,-17.7125,-39.2481,82.2,57,92,7.49,overcast clouds,Pousada dos Navegantes
374,374,Nishihara,JP,26.1842,127.7558,79.88,78,20,10.36,few clouds,Minshuku Agaihama
376,376,Faanui,PF,-16.4833,-151.75,77.68,75,21,25.93,few clouds,Bora-Bora Pearl Beach Resort & Spa
380,380,Barabai,ID,-2.5833,115.3833,76.17,91,100,1.03,overcast clouds,HOTEL BOURAQ INDAH PERMAI
395,395,Itaituba,BR,-4.2761,-55.9836,87.96,74,20,9.22,few clouds,Hotel Campos
396,396,Sorong,ID,-0.8833,131.25,81.41,78,100,3.4,light rain,Waigo Splash Hotel
398,398,Kihei,US,20.785,-156.4656,77.02,92,75,6.91,broken clouds,Maui Sunset
399,399,Neiafu,TO,-18.65,-173.9833,77.68,83,75,2.3,broken clouds,Mystic Sands Beachfront Accommodation
400,400,Panalingaan,PH,8.7842,117.4231,80.19,85,100,2.37,moderate rain,I Love Panalingaan View Deck
408,408,Pucallpa,PE,-8.3791,-74.5539,82.44,78,40,3.44,scattered clouds,Hotel Sol de Oriente - Pucallpa
409,409,Kilindoni,TZ,-7.9139,39.6668,78.49,66,60,16.55,broken clouds,Bustani B&B
410,410,Ternate,ID,0.8,127.4,82.42,77,100,3.13,overcast clouds,Sahid Bela Ternate Hotel
414,414,Pilar,BR,-9.5972,-35.9567,84.13,54,48,9.6,scattered clouds,Pousada e churrascaria Manguaba
415,415,Sao Miguel,BR,-5.4667,-35.3667,86.77,62,1,14.5,clear sky,CEJ - Centro Escoteiro da Juventude
421,421,Bonthe,SL,7.5264,-12.505,80.1,79,97,4.63,moderate rain,Bonthe Holiday Village
424,424,Faya,SA,18.3851,42.4509,78.91,31,98,5.99,overcast clouds,شيلة نسايم
425,425,Gorontalo,ID,0.5412,123.0595,76.1,95,37,2.57,scattered clouds,Maqna Hotel by Prasanthi
430,430,Maningrida,AU,-12.0667,134.2667,82.53,78,4,10.0,clear sky,Dhukurrdji Lodge
433,433,Digha,IN,21.6833,87.55,81.09,84,20,8.12,few clouds,Khoniker Atithi
441,441,Vanimo,PG,-2.6741,141.3028,79.43,88,100,5.59,light rain,Vahmoneh Lodge Vanimo
445,445,Misratah,LY,32.3754,15.0925,76.5,52,0,13.33,clear sky,Almasa Hotel
447,447,Toucheng,TW,24.8592,121.8233,80.46,91,97,5.64,overcast clouds,和風時尚VILLA會館
451,451,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.22,67,30,9.08,scattered clouds,Crôa Mares Hotel
460,460,Sola,VU,-13.8833,167.55,80.62,74,100,12.08,light rain,Leumerus Bungalows
461,461,Tubalan,PH,6.495,125.5661,81.36,77,34,7.56,scattered clouds,Maldives tubalan malita davao occidental
463,463,Ponta Delgada,PT,37.7333,-25.6667,76.5,83,75,13.8,broken clouds,Vila Nova Hotel
464,464,Lorengau,PG,-2.0226,147.2712,81.97,80,100,9.26,overcast clouds,Lorengau Harbourside Hotel
468,468,Rio Claro,BR,-22.4114,-47.5614,85.51,45,90,11.18,overcast clouds,Hotel Vivendas Rio Claro by Atlantica
476,476,Puerto Colombia,CO,10.9878,-74.9547,78.89,80,97,6.24,overcast clouds,Hotel El Emigrante
478,478,Pangai,TO,-19.8,-174.35,77.07,83,65,10.56,light rain,Ha'apai Beach Resort
482,482,Jacmel,HT,18.2342,-72.5347,84.04,73,78,3.18,broken clouds,Historic Hotel Florita
484,484,Vangaindrano,MG,-23.35,47.6,78.85,59,0,12.75,clear sky,Hotel Fanilo
491,491,Coxim,BR,-18.5067,-54.76,88.9,47,100,8.12,overcast clouds,Rancho Da Curica
492,492,Ambilobe,MG,-13.2,49.05,87.55,39,42,9.15,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
496,496,Martapura,ID,-3.4167,114.85,78.89,89,99,2.3,overcast clouds,Montana Hotel Syariah
497,497,Porteirinha,BR,-15.7433,-43.0283,89.94,30,99,10.11,overcast clouds,Portal Palace Hotel
498,498,Trincomalee,LK,8.5711,81.2335,85.05,62,100,11.01,overcast clouds,Welcombe Hotel
511,511,Kavaratti,IN,10.5669,72.642,81.84,74,100,17.67,light rain,Green leaf
518,518,Porto Novo,BJ,6.4965,2.6036,85.82,69,82,10.16,light rain,Tour Eiffel Hotel Benin
519,519,Amahai,ID,-3.3333,128.9167,79.54,85,98,2.21,overcast clouds,HOTEL ISABELA
521,521,Kefalos,GR,36.7453,26.9589,79.02,41,20,16.11,few clouds,Kokalakis Hotel
526,526,Honiara,SB,-9.4333,159.95,78.08,86,85,3.76,overcast clouds,Heritage Park Hotel
532,532,Mainit,PH,9.535,125.5231,80.55,79,100,4.47,overcast clouds,Kasili Lakeside Resort and Hotel
538,538,Srandakan,ID,-7.9386,110.2506,77.11,90,100,7.31,light rain,Puri Brata
540,540,Cavalcante,BR,-13.7975,-47.4583,90.28,27,4,11.34,clear sky,Pousada Vila dos Ipês
541,541,Keelung,TW,25.1283,121.7419,79.57,89,96,11.07,overcast clouds,East Coast Star Boutique Hotel
543,543,Escarcega,MX,18.6089,-90.7454,77.32,67,48,1.54,scattered clouds,Hotel Maria Isabel
545,545,Nago,JP,26.5881,127.9761,77.45,79,13,7.18,few clouds,Hotel Yugaf Inn Okinawa
550,550,Basco,PH,20.4487,121.9702,82.74,77,13,17.02,few clouds,Nathaniel's Lodge
554,554,Galle,LK,6.0367,80.217,78.53,85,71,12.37,light rain,Amangalla
557,557,Coahuayana,MX,18.7333,-103.6833,76.57,84,93,2.82,overcast clouds,El rranchito michuacan de ocampos
558,558,Luganville,VU,-15.5333,167.1667,77.85,86,100,7.31,overcast clouds,The Espiritu Hotel
560,560,Bosaso,SO,11.2842,49.1816,87.78,79,40,11.5,scattered clouds,Red Sea Hotel
562,562,Namatanai,PG,-3.6667,152.4333,80.85,75,84,12.35,broken clouds,Seagulls Inn Namatani
563,563,Mascote,BR,-15.5631,-39.3025,81.3,64,100,3.18,overcast clouds,Fazenda Novo ORIENTE
567,567,Conde,BR,-7.2597,-34.9075,83.66,70,75,5.75,broken clouds,Pousada Beija Flor
570,570,Port Keats,AU,-14.25,129.55,82.18,77,8,4.27,clear sky,Kardu Durrikardu Numida Hostel
575,575,Dakar,SN,14.6937,-17.4441,88.68,78,16,9.46,few clouds,Novotel Dakar
576,576,Morondava,MG,-20.2833,44.2833,78.87,76,0,15.82,clear sky,La Case Bambou
581,581,Cicero Dantas,BR,-10.6,-38.3833,89.98,33,34,11.56,scattered clouds,Hotel Beatriz
582,582,Mahajanga,MG,-15.7167,46.3167,87.82,42,0,11.5,clear sky,Hôtel Restaurant Gourmand Coco Lodge Majunga
584,584,Shirgaon,IN,19.7,72.7,80.8,78,100,6.73,overcast clouds,"Samarth Krupa Farm, Palghar"
587,587,Bol,TD,13.4586,14.7147,82.53,71,75,12.86,broken clouds,Harrouni camp de passage
597,597,Carutapera,BR,-1.195,-46.02,85.19,64,99,11.34,overcast clouds,Lidera
601,601,Kayan,MM,16.9056,96.5631,82.54,79,43,4.9,scattered clouds,ဖြိုးရတနာ ရွှေဆိုင်
609,609,Puerto Carreno,CO,6.189,-67.4859,78.78,89,75,3.44,broken clouds,Casa Hotel Victoria
610,610,Kudahuvadhoo,MV,2.6708,72.8944,81.88,77,60,21.0,broken clouds,Niyama Private Islands Maldives
613,613,Sion,CH,46.2291,7.3594,76.21,51,0,10.36,clear sky,Hôtel Castel
616,616,Campoverde,PE,-8.4753,-74.8058,82.09,55,90,2.8,overcast clouds,Hospedaje Coral's
623,623,Natitingou,BJ,10.3042,1.3796,87.24,54,33,5.68,light rain,Cotonou
638,638,La Ciotat,FR,43.1748,5.6045,79.61,79,40,8.66,scattered clouds,ibis La Ciotat
639,639,Watsa,CD,3.0372,29.5355,80.53,62,69,4.32,broken clouds,Hôtel Le Pacifique
640,640,Acajutla,SV,13.5928,-89.8275,81.21,66,99,3.62,overcast clouds,CASA DE LA PERRA
644,644,Veraval,IN,20.9,70.3667,81.91,77,31,14.36,scattered clouds,Lords Inn Somnath
646,646,Wanlaweyn,SO,2.6185,44.8938,86.56,48,76,23.98,broken clouds,GAASHAAN HOME
647,647,Alasehir,TR,38.3508,28.5172,78.66,29,61,9.66,broken clouds,Seçil Otel
649,649,Santiago De Cuba,CU,20.0247,-75.8219,82.51,74,20,9.22,few clouds,Cubanacan San Felix
652,652,Mabaruma,GY,8.2,-59.7833,87.8,59,45,5.59,scattered clouds,Monty Brooms Guest House
653,653,Tual,ID,-5.6667,132.75,83.35,78,100,16.89,overcast clouds,Grand Vilia Hotel
658,658,Buchanan,LR,5.8808,-10.0467,81.63,73,78,8.9,light rain,Kamaneahn Hotel Inc
663,663,Vasai,IN,19.47,72.8,82.49,78,100,4.83,overcast clouds,Jivdani Kripa
